Feywood/Hitoshi Sakimoto - Victory Fanfare.mp3||Final Fantasy XII OST - Victory Fanfare
ridorana_rework/Feint_Alone.mp3||Feint - We Won't Be Alone (Ft. Laura Brehm)
ridorana_rework/Muzz_Star_Glide.mp3||MUZZ - Star Glide (Ft. Cammie Robinson)
ridorana_rework/Pendulum_Nothing.mp3||Pendulum - Nothing For Free
ridorana_rework/Pendulum_Painkillerend.mp3||Freestylers Ft. Pendulum - PainKiller
ridorana_rework/Pendulum_Winner_Remix.mp3||Enter Shikari - Sorry You're Not a Winner (Pendulum Remix)
ridorana_rework/SH_ASCA_UntiL_Trim.mp3||Sawano Hiroyuki[nZk], ASCA - Unti-L
ridorana_rework/SH_LiSA_Narrative.mp3||Sawano Hiroyuki[nZk], LiSA - Narrative
RidoranaCataract/Stage3_Boss.mp3||Final Fantasy XII OST - Battle With an Esper
RidoranaCataract/Stage3_Start.mp3||Ninja Tracks - Eon
RidoranaCataract/Stage4_Boss.mp3||GRV Music & Pfeifer Broz. Music - Quantum Crypts
RidoranaCataract/Stage4_Start_New3.mp3||Audiomachine - Blood and Stone
